group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Endoderm 1,epcam,9.246241,2.4612446,2.3252782177631504e-20,2.536994799490485e-16,1.0,0.8881118881118881
Ventral Endoderm 1,nectin2,8.899914,4.0175977,5.589019204086832e-19,3.3448641126278153e-15,1.0,0.6293706293706294
Ventral Endoderm 1,celsr1,8.79533,3.619472,1.4262852389516062e-18,5.1871616998604996e-15,0.9743589743589743,0.6853146853146853
Ventral Endoderm 1,tbc1d14,8.572446,5.214097,1.013097495944689e-17,2.7633500573761324e-14,0.9230769230769231,0.1958041958041958
Ventral Endoderm 1,plec,8.467862,3.8291056,2.4993756178095275e-17,5.45388753562217e-14,0.9487179487179487,0.5314685314685315
Ventral Endoderm 1,psd3,8.346133,4.390922,7.053404525182833e-17,1.087369831594246e-13,0.9230769230769231,0.3916083916083916
Ventral Endoderm 1,tjp2,8.339275,4.649204,7.474702109854586e-17,1.087369831594246e-13,0.9230769230769231,0.2937062937062937
Ventral Endoderm 1,palm2,8.239835,3.906996,1.724479928305986e-16,2.1207177148842013e-13,0.9230769230769231,0.43356643356643354
Ventral Endoderm 1,dst,7.7786374,5.759187,7.330972590227912e-15,5.924783440420862e-12,0.8461538461538461,0.1048951048951049
Ventral Endoderm 1,ano5,7.751206,4.230915,9.102403299242869e-15,7.093697942599237e-12,0.8717948717948718,0.2727272727272727
Ventral Endoderm 1,tat,7.6106176,3.2726288,2.7278907291367662e-14,1.8601657375154182e-11,0.9230769230769231,0.3706293706293706
Ventral Endoderm 1,axl,7.5214643,5.6489806,5.4166146404370647e-14,3.581695396029612e-11,0.8205128205128205,0.09090909090909091
Ventral Endoderm 1,spint2,7.384305,2.7433562,1.5325166825558708e-13,9.029947624707163e-11,0.9487179487179487,0.5804195804195804
Ventral Endoderm 1,fhod1,7.380876,4.224172,1.5725127617381065e-13,9.029947624707163e-11,0.8461538461538461,0.2867132867132867
Ventral Endoderm 1,cdh3,7.3723035,1.1938804,1.6770446622165118e-13,9.383279890827308e-11,0.9743589743589743,0.993006993006993
Ventral Endoderm 1,arhgap27,7.3191547,4.140591,2.495381596632379e-13,1.3280907761003695e-10,0.8461538461538461,0.13986013986013987
Ventral Endoderm 1,LOC100489507,7.3191547,3.8787966,2.495381596632379e-13,1.3280907761003695e-10,0.8461538461538461,0.3076923076923077
Ventral Endoderm 1,slc5a8.1,7.236859,4.0218816,4.591950260467237e-13,2.3302545728757113e-10,0.8461538461538461,0.09090909090909091
Ventral Endoderm 1,nxpe3l.2,7.23343,6.8164916,4.709450949438424e-13,2.3355665719930875e-10,0.7692307692307693,0.02097902097902098
Ventral Endoderm 1,prc1,7.2042837,2.6265678,5.834975506815896e-13,2.7679347942223846e-10,0.9230769230769231,0.5874125874125874
Ventral Endoderm 1,trib2,7.101414,2.5247293,1.234865120914035e-12,5.28352780460101e-10,0.9230769230769231,0.5174825174825175
Ventral Endoderm 1,spint1,7.089413,3.9324076,1.3468208741295867e-12,5.442403387848465e-10,0.8205128205128205,0.17482517482517482
Ventral Endoderm 1,kiaa1671,6.9865437,3.5304055,2.8174088664039386e-12,1.042011506335599e-09,0.8717948717948718,0.5104895104895105
Ventral Endoderm 1,slc12a3l,6.952254,6.2971816,3.5949585312019557e-12,1.3074265018226313e-09,0.7948717948717948,0.24475524475524477
Ventral Endoderm 1,plekha4,6.9008193,2.6536727,5.1703527829365565e-12,1.8197140012332032e-09,0.8974358974358975,0.6223776223776224
Ventral Endoderm 1,naalad2,6.8665295,4.7483625,6.5782647406430175e-12,2.2428799203995515e-09,0.7948717948717948,0.1958041958041958
Ventral Endoderm 1,mpzl2,6.780805,4.89483,1.195081853110582e-11,3.892221062197912e-09,0.7948717948717948,0.17482517482517482
Ventral Endoderm 1,atp1b1,6.736228,4.645252,1.6255096408965527e-11,5.140615344058503e-09,0.7948717948717948,0.15384615384615385
Ventral Endoderm 1,phldb3,6.7156544,4.0598197,1.872241925773115e-11,5.836313008899306e-09,0.7948717948717948,0.27972027972027974
Ventral Endoderm 1,dnmbp,6.7122254,4.592817,1.9167840244939983e-11,5.891006225138526e-09,0.7435897435897436,0.1048951048951049
Ventral Endoderm 1,cadm1,6.701938,1.784419,2.05672766866373e-11,6.23331311915434e-09,1.0,0.972027972027972
Ventral Endoderm 1,LOC100491625,6.6950803,1.6736664,2.1555304824641838e-11,6.443264473678213e-09,0.9487179487179487,0.9440559440559441
Ventral Endoderm 1,usp43,6.6813645,4.2544723,2.3672758153071036e-11,6.968566566449143e-09,0.7692307692307693,0.13286713286713286
Ventral Endoderm 1,LOC101733480,6.6470747,6.275772,2.9897526073583876e-11,8.584130479627286e-09,0.717948717948718,0.04895104895104895
Ventral Endoderm 1,slc22a23,6.59564,3.5975535,4.234251039251432e-11,1.1999427523052663e-08,0.7948717948717948,0.3006993006993007
Ventral Endoderm 1,chp1,6.578495,3.8448641,4.752333422125304e-11,1.3294957385153368e-08,0.8461538461538461,0.44755244755244755
Ventral Endoderm 1,tmprss9,6.5647793,5.5886965,5.211000358966543e-11,1.4213654854126117e-08,0.7435897435897436,0.14685314685314685
Ventral Endoderm 1,arhgap45,6.5579214,3.855106,5.4562993852813957e-11,1.4699001097064857e-08,0.7692307692307693,0.20279720279720279
Ventral Endoderm 1,ly6g6c,6.4996285,6.0897346,8.051851656690373e-11,2.1168609036221763e-08,0.6923076923076923,0.027972027972027972
Ventral Endoderm 1,gadd45a,6.4893417,2.732243,8.62122250816198e-11,2.2132199570659126e-08,0.8461538461538461,0.4405594405594406
Ventral Endoderm 1,depdc1b,6.46191,2.0324972,1.0338966176221709e-10,2.6233323364108595e-08,0.8974358974358975,0.5944055944055944
Ventral Endoderm 1,anks6,6.3624697,5.300884,1.9853544969157086e-10,4.923002326954282e-08,0.6923076923076923,0.04895104895104895
Ventral Endoderm 1,rreb1,6.353897,1.9442878,2.0992733089164258e-10,5.1469935813331835e-08,0.9743589743589743,0.958041958041958
Ventral Endoderm 1,tp53bp2,6.317893,2.4353566,2.651538384637405e-10,6.28904555338835e-08,0.8974358974358975,0.5454545454545454
Ventral Endoderm 1,marchf8,6.266458,3.6954129,3.6935266215411127e-10,8.5740898307073e-08,0.8461538461538461,0.3706293706293706
Ventral Endoderm 1,chmp5,6.2596,3.0007453,3.859657689035369e-10,8.865430571835873e-08,0.7948717948717948,0.38461538461538464
Ventral Endoderm 1,gatm,6.2253103,2.2825441,4.806036064866019e-10,1.092422010119181e-07,1.0,0.8671328671328671
Ventral Endoderm 1,arhgef38,6.2081656,3.155854,5.360668531472336e-10,1.1936239594414063e-07,0.8461538461538461,0.2867132867132867
Ventral Endoderm 1,cxadr,6.206451,2.5374093,5.419450877864699e-10,1.1945236121806624e-07,0.8461538461538461,0.4195804195804196
Ventral Endoderm 1,LOC779592,6.1910205,4.2134743,5.977589788645615e-10,1.2914553146340193e-07,0.717948717948718,0.13286713286713286
Ventral Endoderm 1,dcbld1,6.1893063,2.6735942,6.042963369195493e-10,1.2927794478354397e-07,0.8717948717948718,0.5454545454545454
Ventral Endoderm 1,ca14,6.172161,3.9021277,6.73627611262478e-10,1.4271095247920905e-07,0.7692307692307693,0.3776223776223776
Ventral Endoderm 1,nav2,6.101867,2.1183145,1.0483649471161955e-09,2.0987496799103213e-07,0.9230769230769231,0.8321678321678322
Ventral Endoderm 1,st14,6.0470033,1.9751004,1.4756455418523115e-09,2.900906429617954e-07,0.8717948717948718,0.5944055944055944
Ventral Endoderm 1,pard6b,6.009285,4.2188344,1.863436028989091e-09,3.566845402506224e-07,0.6923076923076923,0.13286713286713286
Ventral Endoderm 1,erbin,6.009285,2.6549027,1.863436028989091e-09,3.566845402506224e-07,0.7948717948717948,0.5384615384615384
Ventral Endoderm 1,ccng2,5.981853,2.896998,2.2061345516720946e-09,4.0453833657173765e-07,0.7692307692307693,0.21678321678321677
Ventral Endoderm 1,jag1,5.9767094,3.5526774,2.2768977172337513e-09,4.1403487573131407e-07,0.717948717948718,0.18181818181818182
