group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate 1,epas1,28.146723,3.6610649,2.6283071310031633e-174,5.735228990562003e-170,0.9722222222222222,0.6263888888888889
Neural Plate 1,lmo7,27.861355,4.1215453,7.847242230022089e-171,8.561733635065601e-167,0.9705882352941176,0.5527777777777778
Neural Plate 1,itpr3,26.394503,2.5641303,1.58449923390654e-153,1.1525119261024867e-149,0.9869281045751634,0.9402777777777778
Neural Plate 1,nectin2,24.955877,2.7181242,1.8436267357838436e-137,1.0057444750384814e-133,0.9493464052287581,0.5652777777777778
Neural Plate 1,spint2,24.702457,3.69551,1.0064021094990083e-134,4.3921400862755723e-131,0.8905228758169934,0.2777777777777778
Neural Plate 1,nectin3,24.552664,4.557398,4.050837705287049e-133,1.473222159451145e-129,0.8480392156862745,0.25277777777777777
Neural Plate 1,ocln,22.910717,2.6796248,3.633233792591175e-116,1.1325827798304576e-112,0.9084967320261438,0.41388888888888886
Neural Plate 1,phldb3,22.811878,4.939403,3.4953005862105246e-115,9.533869261462482e-112,0.7647058823529411,0.09861111111111111
Neural Plate 1,epcam,22.10643,2.2651918,2.7411260885468735e-108,5.437646579834666e-105,0.9281045751633987,0.6097222222222223
Neural Plate 1,dcbld1,21.702501,2.4429467,1.943045615311782e-104,3.533266530976532e-101,0.9101307189542484,0.5319444444444444
Neural Plate 1,astl2d.1,21.01106,3.6360924,5.196153185674654e-98,8.72194297420051e-95,0.795751633986928,0.25972222222222224
Neural Plate 1,arhgap6,20.91894,1.9269559,3.6002922489239306e-97,5.611569797412078e-94,0.9738562091503268,0.8583333333333333
Neural Plate 1,usp54,20.8742,2.33915,9.189118113783392e-97,1.3367716424057827e-93,0.9166666666666666,0.7041666666666667
Neural Plate 1,kiaa1671,20.666592,2.228235,6.923739732684255e-95,9.442682794181447e-92,0.9264705882352942,0.7125
Neural Plate 1,arhgap45,20.405952,2.573978,1.4805087776662543e-92,1.9003636492620784e-89,0.8888888888888888,0.4847222222222222
Neural Plate 1,usp53,20.27288,3.235996,2.23199887439137e-91,2.7058026354496714e-88,0.7696078431372549,0.21666666666666667
Neural Plate 1,plpp3,20.200914,3.2020667,9.610192836598351e-91,1.1037053573021718e-87,0.8186274509803921,0.3638888888888889
Neural Plate 1,crb2,20.07449,3.336111,1.2334331763019224e-89,1.3457372670042125e-86,0.7679738562091504,0.2763888888888889
Neural Plate 1,angpt4.2,19.505615,3.4019332,9.83674250606992e-85,1.0221312296426273e-81,0.7238562091503268,0.16111111111111112
Neural Plate 1,mst1,19.369757,2.394466,1.389126945337416e-83,1.3778245033730798e-80,0.8333333333333334,0.5111111111111111
Neural Plate 1,kalrn,19.27492,3.0502543,8.72346356328873e-83,8.276291235414061e-80,0.75,0.22916666666666666
Neural Plate 1,dtna,18.604277,3.3495533,2.9666674250952674e-77,2.589425995320153e-74,0.7140522875816994,0.23055555555555557
Neural Plate 1,plcb4,18.160826,2.3850853,1.0542596737189156e-73,8.216071550078735e-71,0.815359477124183,0.5041666666666667
Neural Plate 1,osbpl1a,17.844229,3.6626008,3.20496615491198e-71,2.2559860150430427e-68,0.6552287581699346,0.14444444444444443
Neural Plate 1,LOC595077,17.399635,4.007256,8.303074758090531e-68,5.661918571759172e-65,0.6111111111111112,0.08333333333333333
Neural Plate 1,arhgef25,17.387413,1.8593967,1.0276777622039532e-67,6.795441348197716e-65,0.8643790849673203,0.6
Neural Plate 1,calcrl,17.119772,3.1872478,1.0568996624975893e-65,6.783119863341146e-63,0.673202614379085,0.21388888888888888
Neural Plate 1,eppk1,17.105835,1.7757243,1.3426331589126726e-65,8.370742331609551e-63,0.9264705882352942,0.7763888888888889
